group_number,consensus,highest_voted_ans,variance,avg_arrogance,med_arrogance,var_arrogance,avg_confidence,med_confidence,var_confidence,avg_EMAM,med_EMAM,var_EMAM,avg_EAAA,med_EAAA,var_EAAA,pca1,pca2,cluster
14,0.4224896840817172,0.6,0.541871921182266,0.1699094654651544,0.1268612269207862,0.9120336088488692,0.8733333333333333,1.0,0.16176470588235292,0.4208333333333333,0.45,0.5416475459357016,0.12063492063492065,0.10714285714285712,0.05148082467533266,-0.6763624960233338,0.4768541086315452,-1
15,0.5510218992505829,0.5483870967741935,0.6606383696605707,0.15099220960155413,0.10975609756097562,0.2681185140577769,0.8838709677419355,1.0,0.05331847667799305,0.4212382934443288,0.3741935483870967,0.25404943808207897,0.1204519102125762,0.1290322580645161,0.013562289606780516,-0.5724618225534166,-0.09218731519369891,0
16,0.0640516352087821,0.2333333333333333,0.017545043525204126,0.13911990153160372,0.13086325439266616,0.09770150093448288,0.7166666666666667,0.75,0.30617305061559497,0.36,0.3666666666666667,0.4701796118892002,0.13555555555555554,0.1238095238095238,0.0608957044274903,0.08018168890766116,0.030743577656488625,0
17,0.2143119619030438,0.4,0.1970443349753694,0.11520049924103914,0.1085995085995086,0.07598428602636596,0.66,0.7,0.3806429548563613,0.3888888888888889,0.4083333333333333,0.3244940251033088,0.13634920634920636,0.13095238095238093,0.0422062124505893,-0.07502986864987458,-0.14711994603050954,0
18,0.15561219899838452,0.35135135135135137,0.2395573250556717,0.12230653085405452,0.1176470588235294,0.15578286074820993,0.6702702702702703,0.7,0.4994130587495841,0.3779401022644266,0.4216216216216217,0.4139511867221428,0.13204633204633204,0.11505791505791504,0.03638831878246638,-0.09527023780807485,-0.10467963776339316,0
19,0.18819279011515744,0.3,0.07872775940796724,0.10494805820831707,0.09722838137472284,0.15683831148095753,0.5766666666666667,0.6,0.5503590971272232,0.3811111111111111,0.4333333333333333,0.4521601787528259,0.16566666666666668,0.115,0.2999670667298121,0.2077642296623634,-0.06636229644663783,0
20,0.28253026990673524,0.36666666666666653,0.13856085655802233,0.11200064812779736,0.06250000000000001,0.4466063733962239,0.4966666666666666,0.5,0.5339432284541725,0.4238888888888889,0.425,0.24259651156291426,0.18411111111111111,0.1433333333333333,0.2607304269125786,0.04931238589739638,0.1011810758309838,0
21,0.22275949695586328,0.3,0.07557864903164853,0.11032821377600832,0.09090909090909093,0.2687794153662454,0.59,0.6499999999999999,0.5589090287277703,0.355,0.36666666666666653,0.389740214316884,0.2068888888888889,0.12833333333333335,0.6137249889508735,0.39299560408494905,0.05037307720302339,0
22,0.1817670615818131,0.36666666666666653,0.09447331128956067,0.11811865416821185,0.1079192546583851,0.15944596058558222,0.5966666666666667,0.6,0.3543946648426813,0.38,0.375,0.5594487117126569,0.21600000000000003,0.135,0.6391549881466226,0.40922347075242294,0.008774883397381533,0
23,0.27639278677302936,0.3333333333333333,0.11021886317115412,0.11891498825649024,0.1095655487804878,0.1990261842605132,0.6533333333333333,0.75,0.3761969904240767,0.3505555555555556,0.31666666666666665,0.3029733135003763,0.19544444444444445,0.15333333333333338,0.2348814953682853,0.08970915644913594,0.003996800519859285,0
24,0.1928802025257167,0.2333333333333333,0.047236655644780336,0.08761709323549008,0.07167119565217392,0.08914674229040005,0.5333333333333333,0.55,0.4716142270861834,0.3383333333333333,0.36666666666666653,0.2730909368706246,0.2486666666666667,0.135,0.6784027055019187,0.5506782967867563,-0.06159665468804489,0
25,0.23285686121306226,0.26666666666666666,0.08502598016060461,0.08477601032087555,0.07752403846153846,0.06432756923334207,0.5366666666666666,0.6,0.5647229822161424,0.37166666666666665,0.3833333333333333,0.5128700071768243,0.20944444444444446,0.14333333333333334,0.482579274640552,0.38148875326113535,-0.1455028730258975,0
26,0.18922240735187054,0.26666666666666666,0.06298220752637379,0.10944989987516084,0.08581418581418583,0.23519308666062666,0.4766666666666667,0.5,0.3913303693570453,0.3922222222222223,0.4083333333333333,0.2939275940687797,0.175,0.11333333333333336,0.22221181297157527,0.16276207482853114,0.025490176112943977,0
27,0.21618678764023305,0.3333333333333333,0.09447331128956067,0.10830054526138416,0.1084018801410106,0.1919576757348922,0.5966666666666667,0.6,0.4518638850889194,0.35,0.3416666666666667,0.2406073533595483,0.2001111111111111,0.135,0.290289326658881,0.17565518969054986,-0.023886076929409184,0
28,0.23075416610956045,0.3,0.0881750905369233,0.1172654261104413,0.07900207900207902,0.4375577085309436,0.5366666666666666,0.5,0.5288132694938441,0.3894444444444444,0.4,0.5265510952723732,0.18722222222222226,0.12833333333333335,0.33934670749294304,0.16160842722667773,0.1480439233139033,0
29,0.19330007896264526,0.2333333333333333,0.06298220752637379,0.11579828101651285,0.09672569328433013,0.2788505045287044,0.62,0.7,0.43604651162790703,0.3455555555555556,0.375,0.4279662545417498,0.2237777777777778,0.15000000000000002,0.5326646006543644,0.3480475623985171,0.11906151701428638,0
30,0.2418260799323235,0.3,0.0881750905369233,0.10562811175715996,0.08813747228381373,0.15184820604056726,0.5133333333333333,0.5,0.28898768809849523,0.4061111111111111,0.4166666666666666,0.2370880734612853,0.17244444444444446,0.125,0.25012997827349026,0.16216513800664895,-0.0352750976859288,0
31,0.19679720006863927,0.26666666666666666,0.07872775940796724,0.12819689053099548,0.10975609756097562,0.24341254511510815,0.6333333333333333,0.6,0.4562243502051984,0.3711111111111111,0.375,0.3620810145026591,0.2073333333333333,0.14833333333333334,0.3522971047746448,0.22361480909271075,0.049324191349833575,0
32,0.1836242476018044,0.3333333333333333,0.07242953865532985,0.12595398307915914,0.09890109890109892,0.2454757898189873,0.6733333333333333,0.75,0.4439124487004105,0.32555555555555554,0.3416666666666667,0.6589966290394801,0.26611111111111113,0.15666666666666668,0.7424885290533085,0.470069631054911,0.10240779151196643,0
33,0.13516924109777614,0.26666666666666666,0.03778932451582427,0.11595536165744387,0.07571428571428572,0.4024631042898043,0.53,0.5,0.4347640218878249,0.375,0.3833333333333333,0.2847558646152505,0.17933333333333334,0.11333333333333336,0.5494118241069744,0.35885650993839857,0.20455810644679667,0
34,0.17404528808275854,0.2,0.044087545268461655,0.08059047479676383,0.08655043586550436,0.052740486193734164,0.5366666666666666,0.55,0.6314124487004105,0.3472222222222222,0.3583333333333333,0.3351598733883257,0.2568888888888889,0.1366666666666667,0.97922332207717,0.7941982831671821,-0.10104033705675156,-1
35,0.14549108164888402,0.16666666666666666,0.02204377263423083,0.12428657884045087,0.0958904109589041,0.3192207093387255,0.6,0.7,0.2954856361149111,0.35444444444444445,0.3833333333333333,0.2610929826394623,0.20722222222222225,0.1716666666666667,0.3815370217771944,0.26612184224760943,0.2134194703071632,0
36,0.09111491079965606,0.2,0.0,0.1056343494171906,0.10044642857142858,0.14788193057057064,0.57,0.6,0.3732045143638852,0.3383333333333333,0.3333333333333333,0.2277273289748572,0.2323333333333333,0.17,0.559679946604189,0.48256849859015627,0.06239057276073776,0
37,0.2369345328238369,0.26666666666666666,0.08502598016060461,0.09451204452879723,0.07752403846153846,0.1498982531362086,0.56,0.5,0.41655266757865933,0.3366666666666667,0.33333333333333337,0.3310105433803993,0.2237777777777778,0.1633333333333334,0.5702325604198256,0.42455290249058564,-0.03447717318590318,0
38,0.1275944483810073,0.26666666666666666,0.03464021413950558,0.12052867055058306,0.10909090909090907,0.23403542458607365,0.6366666666666667,0.7,0.4313440492476061,0.3322222222222222,0.3416666666666667,0.4565885309521746,0.2736666666666667,0.15166666666666667,1.0,0.7041537499427548,0.14356236381748377,0
