group_number,consensus,highest_voted_ans,variance,avg_arrogance,med_arrogance,var_arrogance,avg_confidence,med_confidence,var_confidence,avg_EMAM,med_EMAM,var_EMAM,avg_EAAA,med_EAAA,var_EAAA
12,0.11864889982751314,0.42105263157894735,0.4204062352385451,0.13934873344090895,0.10637094747423978,0.40893625570027203,0.6947368421052632,0.75,0.3377001632635588,0.4092797783933518,0.3914473684210526,0.45110679509600826,0.18535318559556788,0.16249999999999998,0.1082640304817143
13,0.4748148603179544,0.6333333333333333,0.6174505702139145,0.1470729900614249,0.11318868113188682,0.16225205672874407,0.92,1.0,0.0,0.4102777777777778,0.39166666666666666,1.0,0.12876190476190477,0.0980952380952381,0.07431707690701013
14,0.42248968408171717,0.6,0.541871921182266,0.1699094654651544,0.1268612269207862,0.9120336088488691,0.8733333333333333,1.0,0.16176470588235292,0.42083333333333334,0.45,0.5416475459357016,0.12063492063492064,0.10714285714285712,0.05148082467533266
15,0.5510218992505829,0.5483870967741935,0.6606383696605707,0.15099220960155413,0.10975609756097562,0.26811851405777687,0.8838709677419355,1.0,0.05331847667799305,0.4212382934443288,0.37419354838709673,0.254049438082079,0.12045191021257619,0.1290322580645161,0.013562289606780515
16,0.0640516352087821,0.23333333333333334,0.017545043525204123,0.13911990153160372,0.13086325439266616,0.09770150093448288,0.7166666666666667,0.75,0.306173050615595,0.36,0.3666666666666667,0.47017961188920016,0.13555555555555557,0.12380952380952381,0.060895704427490295
17,0.2143119619030438,0.4,0.1970443349753694,0.11520049924103916,0.1085995085995086,0.07598428602636596,0.66,0.7,0.38064295485636124,0.3888888888888889,0.4083333333333333,0.32449402510330877,0.13634920634920636,0.13095238095238093,0.0422062124505893
18,0.15561219899838452,0.35135135135135137,0.23955732505567173,0.12230653085405452,0.1176470588235294,0.15578286074820993,0.6702702702702703,0.7,0.4994130587495841,0.3779401022644266,0.42162162162162165,0.41395118672214276,0.13204633204633204,0.11505791505791506,0.03638831878246638
19,0.18819279011515744,0.3,0.07872775940796724,0.10494805820831708,0.09722838137472284,0.15683831148095753,0.5766666666666667,0.6,0.5503590971272232,0.3811111111111111,0.4333333333333333,0.45216017875282594,0.16566666666666668,0.115,0.2999670667298121
20,0.28253026990673524,0.36666666666666664,0.13856085655802233,0.11200064812779736,0.06250000000000001,0.4466063733962239,0.49666666666666665,0.5,0.5339432284541725,0.42388888888888887,0.42500000000000004,0.24259651156291423,0.18411111111111111,0.1433333333333333,0.2607304269125786
21,0.22275949695586328,0.3,0.07557864903164853,0.11032821377600831,0.09090909090909091,0.2687794153662454,0.59,0.6499999999999999,0.5589090287277703,0.355,0.36666666666666664,0.38974021431688394,0.2068888888888889,0.12833333333333335,0.6137249889508735
22,0.1817670615818131,0.36666666666666664,0.09447331128956067,0.11811865416821184,0.1079192546583851,0.15944596058558222,0.5966666666666667,0.6,0.35439466484268134,0.38,0.375,0.5594487117126569,0.216,0.135,0.6391549881466226
23,0.27639278677302936,0.3333333333333333,0.11021886317115412,0.11891498825649023,0.10956554878048781,0.19902618426051316,0.6533333333333333,0.75,0.3761969904240767,0.35055555555555556,0.31666666666666665,0.3029733135003763,0.19544444444444445,0.15333333333333338,0.23488149536828526
24,0.1928802025257167,0.23333333333333334,0.04723665564478034,0.08761709323549007,0.07167119565217392,0.08914674229040005,0.5333333333333333,0.55,0.4716142270861834,0.3383333333333333,0.36666666666666664,0.2730909368706246,0.24866666666666667,0.135,0.6784027055019187
25,0.23285686121306226,0.26666666666666666,0.08502598016060461,0.08477601032087555,0.07752403846153846,0.06432756923334206,0.5366666666666666,0.6,0.5647229822161424,0.37166666666666665,0.3833333333333333,0.5128700071768243,0.20944444444444443,0.14333333333333334,0.482579274640552
